name	preview	download
Assistant-SemiBold	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-SemiBold.ttf
Assistant-Light	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-Light.ttf
Assistant-ExtraBold	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-ExtraBold.ttf
Assistant-ExtraLight	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-ExtraLight.ttf
Assistant-Bold	https://fonts.google.com/specimen/Assistant	https://raw.githubusercontent.com/google/fonts/main/ofl/assistant/static/Assistant-Bold.ttf
RedactedScript-Bold	https://fonts.google.com/specimen/Redacted+Script	https://raw.githubusercontent.com/google/fonts/main/ofl/redactedscript/RedactedScript-Bold.ttf
RedactedScript-Regular	https://fonts.google.com/specimen/Redacted+Script	https://raw.githubusercontent.com/google/fonts/main/ofl/redactedscript/RedactedScript-Regular.ttf
BioRhymeExpanded-ExtraBold	https://fonts.google.com/specimen/Bio+Rhyme+Expanded	https://raw.githubusercontent.com/google/fonts/main/ofl/biorhymeexpanded/BioRhymeExpanded-ExtraBold.ttf
BioRhymeExpanded-ExtraLight	https://fonts.google.com/specimen/Bio+Rhyme+Expanded	https://raw.githubusercontent.com/google/fonts/main/ofl/biorhymeexpanded/BioRhymeExpanded-ExtraLight.ttf
BioRhymeExpanded-Regular	https://fonts.google.com/specimen/Bio+Rhyme+Expanded	https://raw.githubusercontent.com/google/fonts/main/ofl/biorhymeexpanded/BioRhymeExpanded-Regular.ttf
BioRhymeExpanded-Bold	https://fonts.google.com/specimen/Bio+Rhyme+Expanded	https://raw.githubusercontent.com/google/fonts/main/ofl/biorhymeexpanded/BioRhymeExpanded-Bold.ttf
BioRhymeExpanded-Light	https://fonts.google.com/specimen/Bio+Rhyme+Expanded	https://raw.githubusercontent.com/google/fonts/main/ofl/biorhymeexpanded/BioRhymeExpanded-Light.ttf
OFLGoudyStMTT-Italic	https://fonts.google.com/specimen/OFLGoudy+St+MTT	https://raw.githubusercontent.com/google/fonts/main/ofl/oflsortsmillgoudytt/OFLGoudyStMTT-Italic.ttf
OFLGoudyStMTT	https://fonts.google.com/specimen/OFLGoudy+St+MTT	https://raw.githubusercontent.com/google/fonts/main/ofl/oflsortsmillgoudytt/OFLGoudyStMTT.ttf
MrsSheppards-Regular	https://fonts.google.com/specimen/Mrs+Sheppards	https://raw.githubusercontent.com/google/fonts/main/ofl/mrssheppards/MrsSheppards-Regular.ttf
Trochut-Bold	https://fonts.google.com/specimen/Trochut	https://raw.githubusercontent.com/google/fonts/main/ofl/trochut/Trochut-Bold.ttf
Trochut-Italic	https://fonts.google.com/specimen/Trochut	https://raw.githubusercontent.com/google/fonts/main/ofl/trochut/Trochut-Italic.ttf
Trochut-Regular	https://fonts.google.com/specimen/Trochut	https://raw.githubusercontent.com/google/fonts/main/ofl/trochut/Trochut-Regular.ttf
CreteRound-Italic	https://fonts.google.com/specimen/Crete+Round	https://raw.githubusercontent.com/google/fonts/main/ofl/creteround/CreteRound-Italic.ttf
CreteRound-Regular	https://fonts.google.com/specimen/Crete+Round	https://raw.githubusercontent.com/google/fonts/main/ofl/creteround/CreteRound-Regular.ttf
Wellfleet-Regular	https://fonts.google.com/specimen/Wellfleet	https://raw.githubusercontent.com/google/fonts/main/ofl/wellfleet/Wellfleet-Regular.ttf
Biryani-Light	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-Light.ttf
Biryani-ExtraBold	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-ExtraBold.ttf
Biryani-Regular	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-Regular.ttf
Biryani-Black	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-Black.ttf
Biryani-Bold	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-Bold.ttf
